id,slug,title,parent_id,classified_type,has_h5p,has_audio,toggle_count,divi_modules_used,notes
2263,patologias-da-coluna-vertebral,Patologias da Coluna Vertebral,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
1375,patologias-da-vulva,Patologias da Vulva,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
3822,pediatria-flashcards,Pediatria Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
2438,perioperatorio,Perioperatório,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1379,planejamento-familiar,Planejamento Familiar,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
3799,pneumologia-flashcards,Pneumologia Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
2225,pneumonia,Pneumonia,2199,h5p-quiz,1,0,0,"column,heading,row,section,text",
478,prematuridade,Prematuridade,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
588,processo-saude-doenca,Processo Saúde – Doença,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
3803,psiquiatria-flashcards,Psiquiatria Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
548,puericultura,Puericultura,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
481,puerperio,Puerpério,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2441,queimados,Queimados,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2392,raiva,Raiva,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
553,reanimacao-neonatal,Reanimação Neonatal,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1404,relacoes-uterofetais,Relações Uterofetais,261,h5p-quiz,1,0,0,"column,heading,row,section,text",h5p-id-missing-from-table:176
3807,reumatologia-flashcards,Reumatologia Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
486,rotura-prematura-de-membranas,Rotura Prematura de Membranas,261,h5p-quiz,1,0,0,"column,heading,row,section,text",h5p-id-missing-from-table:177
442,sangramento-uterino-anormal,Sangramento Uterino Anormal,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
3826,saude-coletiva-flashcards,Saúde Coletiva Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
557,sepse-neonatal,Sepse Neonatal,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1407,sifilis-na-gestacao,Sífilis na Gestação,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2092,sindrome-coronariana-aguda,Síndrome Coronariana Aguda,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
2266,sindrome-de-guillain-barre,Síndrome de Guillain-Barré,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
2308,sindrome-do-intestino-irritavel,Síndrome do Intestino Irritável,2292,h5p-quiz,1,0,0,"column,heading,row,section,text",
445,sindrome-dos-ovarios-policisticos,Síndrome dos Ovários Policísticos,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2280,sindrome-nefritica,Síndrome Nefrítica,1116,h5p-quiz,1,0,0,"column,heading,row,section,text",
2283,sindrome-nefrotica,Síndrome Nefrótica,1116,h5p-quiz,1,0,0,"column,heading,row,section,text",
1410,sindromes-hemorragicas-da-gestacao,Síndromes Hemorrágicas da Gestação,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1413,sindromes-hipertensivas-na-gestacao,Síndromes Hipertensivas na Gestação,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
592,sus-historico-principios-e-diretrizes,"SUS: Histórico, Princípios e Diretrizes",261,h5p-quiz,1,0,0,"column,heading,row,section,text",
677,tamponamento-cardiaco,Tamponamento Cardíaco,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
1644,taquiarritmias,Taquiarritmias,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
1454,taquipneia-transitoria-do-recem-nascido,Taquipneia Transitória do Recém-Nascido,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2454,tec,TCE,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
596,testes-diagnosticos,Testes Diagnósticos,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1059,tetano,Tétano,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
2162,tireotoxicose,Tireotoxicose,2141,h5p-quiz,1,0,0,"column,heading,row,section,text",
560,tohchs,TOHCHS,261,h5p-quiz,1,0,0,"column,heading,row,section,text",h5p-id-missing-from-table:163
493,toxoplasmose-na-gestacao,Toxoplasmose na Gestação,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2185,transtorno-alimentares,Transtornos Alimentares,2170,h5p-quiz,1,0,0,"column,heading,row,section,text",
2188,transtorno-de-ansiedade,Transtorno de Ansiedade,2170,h5p-quiz,1,0,0,"column,heading,row,section,text",
2191,transtorno-de-humor,Transtorno de Humor,2170,h5p-quiz,1,0,0,"column,heading,row,section,text",
1982,trauma-abdominal-e-pelvico,Trauma Abdominal e Pélvico,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2448,trauma-de-torax,Trauma de Tórax,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1281,trauma-osteomielite,Trauma - Osteomielite,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2451,trauma-raquimedular,Trauma Raquimedular,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
563,triagem-neonatal,Triagem Neonatal,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2228,tuberculose,Tuberculose,2199,h5p-quiz,1,0,0,"column,heading,row,section,text",
2457,tumor-de-pancreas,Tumor de Pâncreas,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1460,tumor-neuroendocrino-infantil,Tumor Neuroendócrino Infantil,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2286,tumores-renais,Tumores Renais,1116,h5p-quiz,1,0,0,"column,heading,row,section,text",
2312,ulcera-peptica-e-h-pylori,Úlcera Péptica e H. pylori,2292,h5p-quiz,1,0,0,"column,heading,row,section,text",
2396,ulceras-genitais-ist,Úlceras genitais - IST,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
2097,valvopatias,Valvopatias,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
685,valvulopatias,Valvulopatias,1560,h5p-quiz,1,0,0,"column,heading,row,section,text",
2134,vasculite-de-pequenos-vasos,Vasculite de Pequenos Vasos,2105,h5p-quiz,1,0,0,"column,heading,row,section,text",
2350,ventilacao-mecanica,Ventilação Mecânica,1700,h5p-quiz,1,0,0,"column,heading,row,section,text",
600,vigilancia-epidemiologica,Vigilância Epidemiológica,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
497,vitalidade-fetal,Vitalidade Fetal,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
4213,abdome-agudo-hemorragico-simulados,Abdome Agudo Hemorrágico Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4217,abdome-agudo-obstrutivo-simulados,Abdome Agudo Obstrutivo Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
4220,abdome-agudo-perfurativo-simulados,Abdome Agudo Perfurativo Simulados,3836,text-lesson,0,0,2,"column,heading,row,section,toggle",
